,SDK Installer,SDK Binaries,Runtime Installer,Runtime Binaries,ASP.NET Core Runtime,Windows Desktop Runtime,Scraped Date,Package name,Version
Download Table,,,,,,,,,
,,,,,,,14-10-2025,System.Runtime.Serialization.Schema,8.0.0
,,,,,,,14-10-2025,System.Security.Cryptography.Cose,8.0.0
,,,,,,,14-10-2025,System.Speech,8.0.0
,,,,,,,14-10-2025,System.Text.Json,8.0.0
,,,,,,,14-10-2025,System.Threading.AccessControl,8.0.0
,,,,,,,14-10-2025,System.Windows.Extensions,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Hosting,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.FileSystemGlobbing,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.FileProviders.Abstractions,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.FileProviders.Composite,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Hosting.Systemd,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Logging.Console,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Hosting.WindowsServices,8.0.0
,,,,,,,14-10-2025,Microsoft.Extensions.Http,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.MonoAOTCompiler.Task,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.LibraryBuilder.Sdk,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.iOS.Sample.Mono,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.WebAssembly.Templates.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.WebAssembly.Wasi.Sdk.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Runtime.WebAssembly.Wasi.Sdk.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Workload.Mono.ToolChain.Current.Manifest-8.0.100,8.0.0
,,,,,,,14-10-2025,Microsoft.NET.Sdk.IL,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Crossgen2.osx-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.linux-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Crossgen2.win-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.linux-bionic-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Host.win-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.linux-arm64.Cross.android-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.linux-x64.Cross.browser-wasm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-arm64.Cross.android-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.osx-x64.Cross.maccatalyst-x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-arm64.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.linux-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.AOT.win-x64.Cross.android-x86.Msi.arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.linux-musl-arm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.linux-musl-arm64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.browser-wasm,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.ios-arm64.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.iossimulator-arm64.Msi.x86,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.iossimulator-x64.Msi.x64,8.0.0
,,,,,,,14-10-2025,Microsoft.NETCore.App.Runtime.Mono.multithread.browser-wasm,8.0.0
